SPRAKTYPEAHEAD,SPRAK
Kre,Kreolsk
Kri,Krio
Kro,Kroatisk
Kru,Kru
Kur,Kurdmanji%2FKurdisk
Kuy,Kuyu%2FKikuyu%2FGikuyu
Kym,Kymrisk
Lao,Laotisk
Lat,Latvisk
Lim,Limba
Lin,Lingala
Lit,Litauisk
Loz,Lozi
Lub,Luba%2FKiluba
Lug,Luganda%2FGanda
Luh,Luhya%2FLuyia%2FLuluhya
Lun,Lunda
Luo,Luo
Lut,Lutoro
Luv,Luvale
Lux,Luxemburgisk
Mad,Maduresisk
Mak,Makedonsk
Mak,Makua-Lomwe%2FImakua
Mal,Malagassisk
Mal,Malayalam
Mal,Malayisk
Mal,Malinke
Mal,Maltesisk
Man,Mandarin
Man,Mande%2FMandi
Man,Mandinka%2FManinka
Man,Mandsjurisk
Man,Manx
Mao,Maori
Mar,Marathi
Mar,Marisk
Mar,Marwarisk
Mas,Masai
May,Maya
Men,Mende
Min,Mina
Mol,Moldavisk
Mon,Mongolsk
Mor,Mordvinsk
Mor,More
Moz,Mozabitisk%2FMzabi
Nam,Nama
Nan,Nandi%2FNandikipsigis
Nau,Nauhatl%2FAztekisk
Nau,Nauru%2FNauruansk
Nav,Navajo%2FNavaho
Nde,Ndebele
Ned,Nederlandsk
Nep,Nepali%2FGurkhal
Niz,Nizma
Nor,Norsk
Nya,Nyamwezi%2FKinyamwezi
Nya,Nyanja%2FChewa%2FKichew
Occ,Occitansk
Ori,Oriya
Oro,Oromisk
Ote,Otetele
Ova,Ovambo%2FKwanyama
Pas,Pasjto
Pat,Patani
Far,Farsi+(persisk)
Pol,Polsk
Por,Portugisisk
Pun,Punjabi
Que,Quechua
Ret,Retoromansk
Rom,Romani%2FRomanes
Rum,Rumensk
Rus,Rusinsk
Rus,Russisk
Sam,Samisk
Sam,Samoansk
San,Sango
San,Santali
Sar,Sarakolle
Sar,Sardisk%2FSardinsk
Sen,Senufo
Ser,Serbisk
Ser,Serbokroatisk
Ses,Sesotho%2FSesuto%2FSoth
Set,Setswana%2FTswana
Sha,Shawi%2FShawe
Sha,Shawiya
Sho,Shona
Sin,Sindebele
Sin,Sindhi
Sin,Singalesisk%2FSinhala
Sis,Siswati
Sji,Sjilkisk%2FSjluh
Sko,Skotsk
Slo,Slovakisk
Slo,Slovensk
Som,Somalisk
Son,Songhai-Djerma
Sor,Sorani%2FKurdisk-Syd
Sor,Sorbisk
Spa,Spansk
